id,education
1449,Đại học
98745,Dưới đại học
124544,Dưới đại học
4908,Đại học
131295,Đại học
49837,Dưới đại học
24477,Đại học
128860,Đại học
106375,Đại học
121984,Đại học
92212,Dưới đại học
105088,Dưới đại học
129191,Đại học
102751,Dưới đại học
8497,Đại học
104846,Dưới đại học
104217,Dưới đại học
98697,Đại học
124,Dưới đại học
119772,Dưới đại học
76543,Dưới đại học
102586,Đại học
37144,Dưới đại học
122990,Dưới đại học
60279,Trên đại học
129992,Đại học
123267,Đại học
100364,Dưới đại học
126667,Đại học
107097,Đại học
108217,
121920,Dưới đại học
108938,Đại học
3512,Đại học
113121,Đại học
130435,Trên đại học
101580,Trên đại học
104314,Dưới đại học
132984,Đại học
51902,Đại học
74297,Trên đại học
66076,Đại học
115736,Dưới đại học
123695,Dưới đại học
125824,Dưới đại học
112264,Dưới đại học
67767,Đại học
118310,Dưới đại học
110690,Dưới đại học
109548,Đại học
126605,Dưới đại học
114828,Dưới đại học
113089,Dưới đại học
118367,Đại học
120157,Dưới đại học
9772,Đại học
115830,Dưới đại học
1374,Đại học
126911,Dưới đại học
126604,Dưới đại học
7339,
111168,Đại học
131739,Đại học
125608,Trên đại học
104816,Đại học
120491,Đại học
108194,Đại học
108145,Đại học
108225,Đại học
113588,Đại học
131804,Dưới đại học
131562,Dưới đại học
66654,Đại học
52371,Đại học
38338,Dưới đại học
52184,Đại học
53907,Dưới đại học
105918,Đại học
102475,Dưới đại học
105233,Dưới đại học
107151,Dưới đại học
129344,Dưới đại học
9429,
61231,Đại học
104045,
102856,Dưới đại học
131580,Dưới đại học
106314,
100397,Đại học
5640,Đại học
113769,Dưới đại học
129333,Đại học
131599,Đại học
131600,Dưới đại học
131656,Đại học
131516,Đại học
106205,Dưới đại học
67685,Dưới đại học
67670,Dưới đại học
55180,Dưới đại học
5081,Đại học
102424,
131493,Dưới đại học
131683,Dưới đại học
131578,Đại học
119775,Đại học
100117,Trên đại học
99221,Đại học
93604,Trên đại học
66642,Dưới đại học
5198,Đại học
105090,Dưới đại học
103200,Dưới đại học
66088,Đại học
2775,Dưới đại học
65929,Đại học
99850,Đại học
3729,Đại học
92828,Dưới đại học
5287,Đại học
108148,Đại học
126606,Dưới đại học
115563,Đại học
105029,Dưới đại học
103136,Đại học
120384,Đại học
130428,Dưới đại học
131428,Dưới đại học
66240,Dưới đại học
67688,Dưới đại học
66876,Dưới đại học
113138,Đại học
108775,Dưới đại học
79137,Dưới đại học
99643,Đại học
99319,Trên đại học
112883,Đại học
103890,Đại học
57100,Đại học
5358,Dưới đại học
107129,Đại học
111681,Dưới đại học
99618,Đại học
67406,Đại học
121052,Dưới đại học
102476,Dưới đại học
109221,Dưới đại học
55614,Đại học
101972,Đại học
123608,Dưới đại học
8204,Đại học
9393,Dưới đại học
65618,Dưới đại học
112650,Dưới đại học
101455,Đại học
123072,Đại học
114535,Đại học
67728,Dưới đại học
109882,Dưới đại học
67786,Đại học
108044,Dưới đại học
120047,Đại học
114539,Dưới đại học
111233,Dưới đại học
72833,Dưới đại học
112205,
104085,Đại học
53965,Đại học
101003,Dưới đại học
126422,Dưới đại học
3837,Đại học
53881,Đại học
93018,Dưới đại học
112825,Du học
122336,Đại học
106878,Dưới đại học
102426,Dưới đại học
112229,Đại học
58324,Đại học
113438,Đại học
64467,Đại học
65855,Dưới đại học
66289,Đại học
67491,Đại học
113756,Đại học
98723,Đại học
122468,Đại học
122567,Dưới đại học
112159,Dưới đại học
99506,Dưới đại học
130740,Đại học
124743,Dưới đại học
114769,Dưới đại học
67446,Dưới đại học
121181,Đại học
66477,Đại học
9767,Đại học
66299,Đại học
66593,Dưới đại học
109609,Dưới đại học
129994,Đại học
9109,
872,Đại học
108350,Đại học
112307,Dưới đại học
53671,Đại học
102175,Dưới đại học
5873,
54600,Dưới đại học
102183,Đại học
40937,Dưới đại học
100362,Đại học
9496,Dưới đại học
102627,Dưới đại học
79652,Đại học
103972,Đại học
79891,Dưới đại học
99948,Đại học
37339,Đại học
126887,Dưới đại học
2660,Đại học
107110,Đại học
53612,Đại học
98824,Trên đại học
93450,Đại học
6773,Dưới đại học
112227,Đại học
122798,Đại học
103514,Trên đại học
67589,Trên đại học
110086,Trên đại học
109962,Dưới đại học
108767,Dưới đại học
107614,Dưới đại học
73535,Đại học
94011,Dưới đại học
83514,Đại học
66848,Đại học
113250,Dưới đại học
113082,Dưới đại học
55275,Dưới đại học
112367,Đại học
111646,Dưới đại học
55368,Đại học
63655,Trên đại học
105803,Đại học
104555,Dưới đại học
104608,Dưới đại học
98634,Đại học
67138,Đại học
104955,Dưới đại học
114085,Đại học
62721,Đại học
755,Đại học
46861,Đại học
67158,Đại học
2751,Đại học
113290,Đại học
108564,Đại học
129968,Đại học
105283,Dưới đại học
113887,Dưới đại học
66427,Đại học
1349,Đại học
102850,Dưới đại học
9169,Đại học
67169,Đại học
130601,Dưới đại học
105877,Dưới đại học
920,Dưới đại học
126638,Dưới đại học
55896,Đại học
67752,Trên đại học
106528,Đại học
117716,Đại học
103415,Đại học
103651,Đại học
101730,Đại học
99656,Đại học
106564,Đại học
101077,Đại học
98950,Đại học
106176,Trên đại học
5258,
51450,Đại học
4582,Trên đại học
113939,Dưới đại học
112662,Dưới đại học
112485,Dưới đại học
122272,Dưới đại học
66254,
94012,Dưới đại học
6557,Đại học
111485,Đại học
100047,Dưới đại học
115751,Đại học
104673,Trên đại học
99011,Trên đại học
105067,Đại học
103922,Dưới đại học
9606,Đại học
109190,Dưới đại học
117654,Dưới đại học
25186,Dưới đại học
7569,Đại học
102640,Đại học
67047,Đại học
125648,Dưới đại học
715,Dưới đại học
56627,Dưới đại học
