ID,income
5326,8000000
53131,10000000
1247,10000000
108753,11000000
99893,6000000
56616,20000000
124942,30000000
2869,5000000
108796,10000000
54202,15000000
116061,15000000
66713,15000000
24701,20000000
99433,
105700,
114237,10000000
101952,15000000
109157,9000000
4601,10000000
106523,30000
3061,20000000
8053,10000000
93818,4000000
34147,20000000
4539,
113591,
111549,3000000
1914,8000000
121704,15000000
3767,5000000
362,
127292,100000000
130400,
129906,20000000
122132,5000000
114977,15000000
124432,13000000
2624,5000000
6674,10000000
4075,50000000
106970,25000000
9490,20000000
125350,100000000
75216,10000000
8994,25000000
131341,30000000
107047,15000000
114598,30000000
119041,
99117,20000000
133414,30000000
104053,23000000
3603,8000000
99592,10000000
124945,17000000
7707,20000000
99250,
105849,
123844,13000000
4600,10000000
104436,10000000
35233,65000000
100118,10000000
100310,20000000
65623,12000000
66345,14000000
57691,30000000
78367,15000000
107836,15000000
110539,10000000
110819,20000000
119916,
62500,25000000
1441,15000000
70,10000000
9338,10000000
66078,6000000
723,10000000
9774,20000000
39947,17000000
100877,25000000
100775,7000000
99671,
125937,10000000
128804,3000000000
106438,40000000
126833,10000000
98712,22000000
133,15000000
4422,15000000
36662,8000000
4603,15000000
4277,15000000
108415,30000000
783,30000000
94013,2000000
102699,25000000
55843,25000000
2225,30000000
54408,
67000,50000000
125055,17000000
93973,18000000
116705,25000000
105586,14000000
127015,30000000
128011,100000000
126352,
125619,
134279,30000000
108339,40000000
9573,7000000
126470,9000000
66849,10000000
102278,
98741,20000000
131476,60000000
124427,35000000
107130,
129575,20000000
109397,100000000
9130,10000000
129278,50000000
122130,15000000
110167,25000000
120508,
121494,200000000
50790,30000000
4640,20000000
52250,10000000
8513,
103484,15000000
67487,17000000
5002,8000000
45872,
4927,20000000
115181,30000000
4993,10000000
8169,10000000
100224,1000000
12822,
65740,10000000
130781,15000000
129878,20000000
128100,8000000
125991,
91797,
3910,6000000
99941,
108737,10000000
128905,
127237,20000000
112157,10000000
118306,10000000
102329,
105215,5000000
99958,30000000
110376,
8219,20000000
5749,7000000
99080,10000000
102626,
108664,10000000
3590,20000000
133276,12000000
103798,9000000
8681,9000000
126959,30000000
123071,15000000
102862,20000000
113173,15000000
101000,40000000
67108,15000000
55186,15000000
124086,20000000
100675,12000000
102658,10000000
112475,
123563,31000000
99789,28000000
113171,4000000
768,20000000
125964,10000000
9348,200000
485,15000000
77884,20000000
3992,9000000
63568,7
110506,25000000
108523,5000000
67636,10000000
4980,
66001,
122620,100000000
126624,15000000
55319,20000000
92839,8000000
110451,25000000
129178,15000000
113181,10000000
45993,20000000
4958,100000000
120425,
93397,9000000
28465,
6798,15000000
6243,9000000
9342,
66143,12000000
2258,8000000
6968,5000000
101511,18000000
66016,10000000
5153,20000000
1331,7000000
2958,15000000
130783,100000000
126694,60000000
118750,500000000
100395,20000000
102784,10000000
114827,8000000
116343,15000000
104208,10000000
9004,15000000
6067,7000000
105981,10000000
105196,12000000
55357,
131482,15000000
93489,100000000
120617,15000000
9782,10000000
9761,13000000
66376,12000000
107209,15000000
123108,30000000
129763,
101142,15000000
1239,8000000
52856,6000000
136,10000000
49827,15000000
99509,8000000
1585,7000000
110039,40000000
104285,35000000
130944,10000000
108749,
66625,100000000
35106,22000000
3861,14000000
111213,20000000
9470,
67820,
98781,15000000
121249,15000000
93563,12000000
5971,3000000
115948,15000000
110958,12000000
66392,10000000
99800,500000
104853,30000000
9218,10000000
108604,20000000
9114,
107603,20000000
59376,8000000
99149,150000000
105377,15000000
105092,10000000
60049,5000000
67120,8000000
51016,10000000
49371,8000000
54174,300000000
99529,12000000
93691,15000000
8482,10000000
26503,150000000
132041,
115545,50000000
63183,15000000
124101,15000000
67215,30000000
105033,30000000
3403,10000000
116964,15000000
128556,300000000
98775,20000000
75190,20000000
66055,8000000
122127,11000000
66857,20000000
1790,25000000
75193,10000000
77018,11000000
92959,33000000
8108,20000000
2549,10000000
2704,9500000
106209,
25,5000000
50,15000000
9388,40000000
120471,80000000
129553,400000000
105074,200000000
122884,15000000
7083,10000000
106573,10000000
114765,
67628,50000000
5217,6000000
99462,10000000
1685,5000000
8982,20000000
66464,10000000
125032,50000000
128057,
98889,
120082,30000000
